title,tag,weather,time,cost,copy,copy_one,copy_two,DateNumber,neighborhood,link
Frankies 457,Restaurant,All,Day and Night,$$,You should...,go to Frankies 457 in Carroll Gardens,and bring a change of clothes for the morning. ,Any,B,http://www.frankiesspuntino.com/457/457.html
Frank,Restaurant,All,Day and Night,$$,You should...,eat at Frank in the East Village,but not if your date's named Frank. ,Any,M,http://www.frankrestaurant.com/
Freemans,Restaurant,All,Day and Night,$$$,You should...,eat at Freemans on LES,and do your best Morgan Freeman impression. ,Any,M,http://www.freemansrestaurant.com/
The Gaf,Bar,All,Night,$$,You should...,have a beer at The Gaf in Hell's Kitchen,"and play the dice game at the bar, unless your date has a gambling problem.",Any,M,http://www.gafwestnyc.com/
Gazala's Place,Restaurant,All,Day and Night,$$,You should...,eat at Gazala's Place in Hell's Kitchen,and then go back to your date's place. ,Any,M,http://www.gazalasplace.com/
Gimme! Coffee Lorimer St,Coffee,All,Day,$,You should...,go to Gimme! Coffee Lorimer St,"and say you take your coffee black, like your men. ",Any,B,http://www.gimmecoffee.com/
Gimme! Coffee Roebling,Coffee,All,Day,$,You should...,go to Gimme! Coffee Roebling,"and wear your best underwear, just in case. ",Any,B,http://www.gimmecoffee.com/
Ginny's Supper Club,Activity,All,Day and Night,$$$,You should...,go see jazz at Ginny's Supper Club in Harlem,and improvise what happens next in your relationship. ,2+,M,http://www.ginnyssupperclub.com/
Good co,Bar,All,Day and Night,$$,You should...,have a drink at Good co. in Williamsburg,and take pleasure in good company. ,Any,B,http://www.goodcobk.com/
The Good Fork,Restaurant,All,Day and Night,$$$,You should...,go to The Good Fork in Red Hook,and warn your roommates you'll be coming home with someone. ,Any,B,http://www.goodfork.com/
Governors Island,Activity,Warm,Day,Free,You should...,take the ferry to Governors Island,and talk about what movies you'd bring to a desert island. ,Any,N,http://www.govisland.com/html/home/home.shtml
Greenwich Treehouse,Bar,All,Night,$$,You should...,drink drinks at Greenwich Treehouse in the West Village,and then play Big Buck Hunter.,Any,M,http://www.greenwichtreehouse.com/
Gregorys Coffee (Park Ave S),Coffee,All,Day,$,You should...,go to Gregorys Coffee (Park Ave S),and share your Netflix watch histories. ,Any,M,http://www.gregoryscoffee.com/
Guggenheim Museum,Activity,All,Day,$$,You should...,go to The Guggenheim,and offer to take pictures for tourists.,Any,M,http://www.guggenheim.org/
Gyu Kaku EV,Restaurant,All,Day and Night,$$,You should...,go to Gyu Kaku East Village,and don't talk about rent. ,Any,M,http://www.gyu-kaku.com/
Gyu Kaku Midtown,Restaurant,All,Day and Night,$$,You should...,go to Gyu Kaku Midtown,and don't talk about work. ,Any,M,http://www.gyu-kaku.com/
Hamilton's,Restaurant,All,Day and Night,$,You should...,go to Hamilton's Soda Fountain in the West Village,and talk about your favorite Presidents. ,Any,M,http://www.hamiltonsoda.com/
Hampton Chutney Co,Restaurant,All,Day and Night,$$,You should...,eat at Hampton Chutney Co in Soho,"and play ""Truth or Truth.""",Any,M,http://www.hamptonchutney.com/
Harlem Public,Bar,All,Day and Night,$,You should...,go to Harlem Public,and then think about going pubic after drinks.,Any,M,http://www.harlempublic.com/
Henry Public,Bar,All,Day and Night,$$,You should...,drink publicly at Henry Public in Cobble Hill,and share your most embarrassing public speaking story. ,Any,B,http://www.henrypublic.com/
Hill Country,Restaurant,All,Day and Night,$$,You should...,go to Hill Country BBQ,and lick your fingers seductively. ,Any,M,http://www.hillcountryny.com/
House of Brews,Bar,All,Day and Night,$$,You should...,go to House of Brews in Hell's Kitchen,and ask your date what their favorite building in New York is. ,Any,M,http://www.houseofbrewsny.com/
House of Small Wonder,Coffee,All,Day,$,You should...,get coffee at House of Small Wonder in Williamsburg,"and make your bed before you go, just in case. ",Any,B,http://www.houseofsmallwonder.com/
Houston Hall,Bar,All,Day and Night,$$,You should...,drink large beers at Houston Hall in the West Village,and insist on pronouncing Houston wrong. ,Any,M,http://www.houstonhallny.com/
Picnic on the Hudson River Park,Activity,Warm,Day,Free,You should...,get your picnic on in Hudson River Park,and then turn the blanket into a bedroom.,Any,M,http://www.hudsonriverpark.org/
Hungry Ghost (Prospect Heights),Coffee,All,Day,$,You should...,get coffee at Hungry Ghost Prospect Heights,and ask your date how their parents met. ,Any,B,http://www.hungryghostbrooklyn.com/
Ikea,Activity,All,Day,$,You should...,go to Ikea in Red Hook,"and fake-furnish your dream apartment, then eat ze Svedish meatballs.",2+,B,http://www.ikea.com/us/en/store/brooklyn
Il Buco Alimentari & Vineria,Restaurant,All,Day and Night,$$$,You should...,go to Il Buco Alimentari & Vineria in Noho,and casually drop into conversation the massage class you took. ,Any,M,http://www.ilbucovineria.com/
Il Posto Accanto,Restaurant,All,Day and Night,$$,You should...,go to Il Posto Accanto in the East Village,and make a joke about pulling a dine-and-dash. ,Any,M,http://www.ilpostoaccantonyc.com/
Intelligentsia Coffee,Coffee,All,Day,$,You should...,go to Intelligentsia Coffee in Chelsea,and talk about dumb shit. ,Any,M,http://www.intelligentsiacoffee.com/location/herald-square-coffeebar
Intrepid,Activity,Warm,Day,$,You should...,check out the Intrepid,and get caught checking other out.,Any,M,http://www.intrepidmuseum.org/
Lantern's Keep,Bar,All,Night,$$$,You should...,have a cocktail at Lantern's Keep in Midtown,and talk about what you'd name your kids. ,Any,M,http://www.iroquoisny.com/lanternskeep
Irving Farm Coffee (UWS),Coffee,All,Day,$,You should...,go to Irving Farm Coffee (UWS),and compliment your date's hair. ,Any,M,http://www.irvingfarm.com/locations/upper-west-side-cafe/
I Sodi,Restaurant,All,Day and Night,$$$,You should...,eat at I Sodi in the West Village,and make this a night your date never forgets. ,Any,M,http://www.isodinyc.com/
Dizzy's Club,Activity,All,Night,$$$,You should...,listen to live music at Dizzy's Club in Lincoln Center,and swear you're going to get more into jazz. ,Any,M,http://www.jazz.org/dizzys/
Jewel Bako,Restaurant,All,Day and Night,$$$,You should...,get sushi at Jewel Bako in the East Village,and tell your date they're the jewel of your eye. ,Any,M,http://www.jewelbakosushi.com/
Jimmy at the James,Bar,Warm,Day and Night,$$$,You should...,sip a drink at Jimmy at the James in SoHo,and don't try to be as cool as the view. ,Any,M,http://www.jimmysoho.com/
Joe Chelsea,Coffee,All,Day,$,You should...,go to Joe Chelsea,and bring mints. ,Any,M,http://www.joenewyork.com/locations/chelsea/
Joe Upper East,Coffee,All,Day,$,You should...,go to Joe Upper East,and give everyone else there a fake backstory. ,Any,M,http://www.joenewyork.com/locations/lexington/
Joe Lincoln Center,Coffee,All,Day,$,You should...,go to Joe Lincoln Center,and don't look at your phone once. ,Any,M,http://www.joenewyork.com/locations/lincoln-center/
Joe Union Square,Coffee,All,Day,$,You should...,go to Joe Union Square,and make your date laugh. ,Any,M,http://www.joenewyork.com/locations/union-square/
Joe Upper West,Coffee,All,Day,$,You should...,go to Joe Upper West,and find out if your date is smart. ,Any,M,http://www.joenewyork.com/locations/upper-west/
Joe Washington Square,Coffee,All,Day,$,You should...,go to Joe Washington Square,and imagine your date naked. ,Any,M,http://www.joenewyork.com/locations/washington-square/
Joe West Village,Coffee,All,Day,$,You should...,go to Joe West Village,and talk about your summer plans. ,Any,M,http://www.joenewyork.com/locations/west-village/
Johnny's Bar,Bar,All,Night,$,You should...,go to Johnny's Bar in the West Village,and ask everyone if they're Johnny.,Any,M,http://www.johnnysbarnyc.com/
Johny's Luncheonette,Restaurant,All,Day and Night,$,You should...,go to Johny's Luncheonette in Chelsea,but not if your date's named Johnny. ,Any,M,http://www.johnysluncheonette.com/
Joseph Leonard,Restaurant,All,Day and Night,$$,You should...,eat at Joseph Leonard in the West Village,and share embarrassing stories. ,Any,M,http://www.josephleonard.com/
Juliana's,Restaurant,All,Day and Night,$$,You should...,go to Juliana's Pizza in Brooklyn Heights,and laugh at all the people overpaying for Grimaldi's next door. ,Any,B,http://www.julianaspizza.com/
Kaffe 1668,Coffee,All,Day,$,You should...,go to Kaffe 1668 in Tribeca,and say something nice about your date. ,Any,M,http://www.kaffe1668.com/
198 Orchard,Activity,All,Night,$$,You should...,sing some jams at Karaoke Boho on the LES,and make sure they're all duets.,2+,M,http://www.karaokeboho.com/
Kefi,Restaurant,All,Day and Night,$$,You should...,get Greek at Kefi on UWS,and talk about your biggest failure. ,Any,M,http://www.kefirestaurant.com/
King Cole Bar,Bar,All,Day and Night,$$$,You should...,go to King Cole Bar in Midtown,and talk about how mindblowing it is that there are still monarchies in our world. ,Any,M,http://www.kingcolebar.com/
King Tai Bar,Bar,All,Day and Night,$,You should...,go to King Tai Bar in Crown Heights,and talk about the ways that the tie is like a corporate noose. ,Any,B,http://www.kingtaibar.com/
Kin Shop,Restaurant,All,Day and Night,$$$,You should...,eat at Kin Shop in the West Village,and then try a new sexual position. ,Any,M,http://www.kinshopnyc.com/
Konditori LES,Coffee,All,Day,$,You should...,go to Konditori Coffee LES,and ask the barista if you can put on your own music. ,Any,M,http://www.konditorinyc.com
Konditori Greenpoint,Coffee,All,Day,$,You should...,get coffee at Konditori Greenpoint,and debate the merits of rent stabilization. ,Any,B,http://www.konditorinyc.com
Konditori Cobble Hill,Coffee,All,Day,$,You should...,get coffee at Konditori Cobble Hill,and have a meaningful conversation with your date. ,Any,B,http://www.konditorinyc.com
Konditori Park Slope,Coffee,All,Day,$,You should...,get coffee at Konditori Park Slope,and share how you'd fix street harassment. ,Any,B,http://www.konditorinyc.com
Konditori Prospect Heights,Coffee,All,Day,$,You should...,get coffee at Konditori Prospect Heights,and talk about current events. ,Any,B,http://www.konditorinyc.com
Kuma Inn,Restaurant,All,Day and Night,$$,You should...,eat at Kuma Inn on LES,"and ask your date in advance what their favorite booze is, because you can BYOB. ",Any,M,http://www.kumainn.com/
La Grenouille,Restaurant,All,Day and Night,$$$,You should...,eat your wallet at La Grenouille in Midtown,"and whatever happens later, make sure it's safe. ",Any,M,http://www.la-grenouille.com/
La Colombe Tribeca,Coffee,All,Day,$,You should...,get coffee at La Colombe Tribeca,and ask questions. ,Any,M,http://www.lacolombe.com/cafes
La Colombe Noho,Coffee,All,Day,$,You should...,get coffee at La Colombe Noho,and look at your date's lips. ,Any,M,http://www.lacolombe.com/cafes
La Colombe Soho,Coffee,All,Day,$,You should...,get coffee at La Colombe Soho,and really listen. ,Any,M,http://www.lacolombe.com/cafes
La Colombe Hudson Square,Coffee,All,Day,$,You should...,get coffee at La Colombe Hudson Square,and talk about hopes and dreams. ,Any,M,http://www.lacolombe.com/cafes
La Goulette,Restaurant,All,Day and Night,$,You should...,go to La Goulette Restaurant in Williamsburg,and don't be afraid to bite when you kiss. ,Any,B,http://www.lagoulettewilliamsburg.com/
L'Artusi,Restaurant,All,Day and Night,$$$,You should...,go to L'Artusi in the West Village,"and when if you go to the bathroom, leave your phone on the table. ",Any,M,http://www.lartusi.com/
Skating at Lasker Rink,Activity,Cold,Day,$$,You should...,go ice skating at Lasker Rink,and see if you can invent a ice dance.,Any,M,http://www.laskerrink.com/
La Vara,Restaurant,All,Day and Night,$$$,You should...,get tapas at La Vara in Cobble Hill,and ask if your date ever owned a lava lamp. ,Any,B,http://www.lavarany.com/
Lavender Lake (Gowanus),Bar,All,Day and Night,$$,You should...,drink alcohol drinks at Lavender Lake in Gowanus,and breathe in that fresh canal air.,Any,B,http://www.lavenderlake.com/
Lenox Coffee,Restaurant,All,Day and Night,$$,You should...,go to Lenox Coffee in Harlem,and don't play with your date's heart. ,Any,M,http://www.lenoxcoffee.com/
Levain Bakery,Activity,All,Day,$,You should...,go to Levain Bakery on the Upper West Side,and watch your date melt in your arms like chocolate melting in a cookie.,Any,M,http://www.levainbakery.com/
Lexington Candy Shop,Restaurant,All,Day,$$,You should...,go to Lexington Candy Shop on UES,and share a milkshake. ,Any,M,http://www.lexingtoncandyshop.net/
Lion's Head Tavern,Bar,All,Day and Night,$,You should...,go to Lion's Head Tavern in Harlem,and remember that head should be appreciated but never expected. ,Any,M,http://www.lionsheadnyc.com/
Little Collins,Coffee,All,Day,$,You should...,get coffee at Little Collins in Midtown,and don't fart. ,Any,M,http://www.littlecollinsnyc.com/
Littlefield,Activity,All,Night,$$,You should...,go see a show at Littlefield in Gowanus,and make your love grow bigger. ,2+,B,http://www.littlefieldnyc.com/
Little Park,Restaurant,All,Day and Night,$$$,You should...,eat at Little Park in Tribeca,and ask your date if they were more into *NSYNC or Backstreet Boys. ,Any,M,http://www.littlepark.com/
Livingston Manor,Bar,All,Day and Night,$$,You should...,go to Livingston Manor (the bar),and make sure your date doesn't accidentally go to Livingston Manor (the town). ,Any,B,http://www.livingstonmanorbk.com/
Locanda Verde,Restaurant,All,Day and Night,$$$,You should...,get Italian at Locanda Verde in Tribeca,and don't ask what your date is doing later that night. You already know. ,Any,M,http://www.locandaverdenyc.com/
Los Tacos No 1,Restaurant,All,Day and Night,$,You should...,go to Los Tacos No 1 in Chelsea,and go buy ice cream sandwiches at a bodega. ,Any,M,http://www.lostacos1.com/
Lulu & Po,Restaurant,All,Day and Night,$$,You should...,go to Lulu & Po in Fort Greene,and clean up your room before you go out. ,Any,B,http://www.luluandpo.com/
Lunchbox Brooklyn,Coffee,All,Day,$,You should...,go to Lunchbox Brooklyn,but you don't have to bring any food with you. ,Any,B,http://www.lunchboxbrooklyn.com/
Manducatis,Restaurant,All,Day and Night,$$,You should...,go to Manducatis in LIC,and chew with your mouth closed. ,Any,N,http://www.manducatis.com/
Marea,Restaurant,All,Day and Night,$$$,You should...,spend money to eat well at Marea in Midtown,and don't complain about anything. ,Any,M,http://www.marea-nyc.com/
Mas (farmhouse),Restaurant,All,Day and Night,$$$,You should...,eat your heart out at Mas (farmhouse) in the West Village,and be honest about how the date's going. ,Any,M,http://www.masfarmhouse.com/home.html
McCarren Park Pool,Activity,Warm,Day,$,You should...,soak in the rays at McCarren Park Pool,and soak in each other's company.,2+,B,http://www.mccarrenpark.com/
Mission Chinese,Restaurant,All,Night,$$,You should...,go to Mission Chinese,and don't order anything specific. Ask the waiter to surprise you. ,Any,M,http://www.mcfny.com/
Gallow Green,Bar,Warm,Day and Night,$$,You should...,drink at Gallow Green in Chelsea,and pretend you just saw Sleep No More. ,Any,M,http://www.mckittrickhotel.com/
Meadowsweet,Restaurant,All,Day and Night,$$,You should...,grab a bite at Meadowsweet in Williamsburg,and pack a toothbrush for your sleepover. ,Any,B,http://www.meadowsweetnyc.com/
Met Rooftop Bar,Activity,Warm,Day,$$,You should...,go to the Met Rooftop Bar,and do not be distracted by the beautiful people ,Any,M,http://www.metmuseum.org/visit/plan-your-visit/dining-at-the-museum/roof-garden-cafe-and-martini-bar
Cloisters,Activity,Warm,Day,Free,You should...,go up to the Cloisters,and think about how majestic your wedding would be if you held it there. ,2+,M,http://www.metmuseum.org/visit/visit-the-cloisters
Mighty Quinn's,Restaurant,All,Day and Night,$$,You should...,go to Mighty Quinn's,and then take a nap together. ,Any,M,http://www.mightyquinnsbbq.com/east-village.html
SI Yankees,Activity,Warm,Day,$,You should...,take the ferry to a Staten Island Yankees game,and realize there's nothing minor-league about your dating game. ,Any,N,http://www.milb.com/index.jsp?sid=t586
Miles,Bar,All,Day and Night,$$,You should...,have two cocktails at Miles in Bushwick,and realize that conversation can be endless. ,Any,B,http://www.milesonwilson.com/
Minton's,Activity,All,Day and Night,$$,You should...,go see jazz at Minton's in Harlem,and try to be as smooth as the music. ,2+,M,http://www.mintonsharlem.com/
Mission Cantina,Restaurant,All,Day and Night,$$,You should...,go to Mission Cantina,talk about how amazing it is that we get to see a black man be President. ,Any,M,http://www.missioncantinany.com/
MoMA,Activity,All,Day,$$,You should...,check out an exhibit at MoMA,and admit you don't get it so your date doesn't feel stupid.,Any,M,http://www.moma.org/
Moma Fridays,Activity,All,Day,Free,You should...,go to MoMA Friday between 4 and 8,because it's free!,Any,M,http://www.moma.org/visit/index
Mooncake Foods,Restaurant,All,Day and Night,$$,You should...,go to Mooncake Foods in Soho,and your date will be over the moon. ,Any,M,http://www.mooncakefoods.com/
Motorino,Restaurant,All,Day and Night,$$,You should...,eat at Motorino in the East Village,and ask your date questions. ,Any,M,http://www.motorinopizza.com/
Museum of the Moving Image,Activity,All,Day,$$,You should...,head to the Museum of the Moving Image in Queens,and make a flipbook of you and your date.,2+,N,http://www.movingimage.us/
Vintage shopping @ Mr Throwback,Activity,All,Day,$$,You should...,go vintage shopping at Mr. Throwback in the East Village,and have some fun in the dressing rooms. ,2+,M,http://www.mrthrowback.com/
Museum of Sex,Activity,All,Day,$$,You should...,learn some things at the Museum of Sex,and then use what you learned.,Dating,M,http://www.museumofsex.com/
Tandem bike in central park,Activity,Warm,Day,$$,You should...,ride a tandem bike in Central Park,and make sure you pull your weight.,Dating,M,http://www.mustseecentralpark.com/Central-Park-Tandem-Bike-Rentals
Naidre's Cafe,Coffee,All,Day,$,You should...,go to Naidre's Cafe in Park Slope,but leave before your date gets bored. ,Any,B,http://www.naidrescafebakery.com/
Narcissa,Restaurant,All,Day and Night,$$$,You should...,eat at Narcissa in the East Village,and don't drink too much. ,Any,M,http://www.narcissarestaurant.com/
Naya,Restaurant,All,Day and Night,$$,You should...,get Lebanese at Naya in Midtown,"and find your date's biggest flaw, them forgive them for it. ",Any,M,http://www.nayarestaurants.com/home.html
Knicks,Activity,All,Night,$$$,You should...,attend a Knicks game,and the rest of the night will be a layup.,Any,M,http://www.nba.com/knicks/
Nets,Activity,All,Night,$$$,You should...,watch a Brooklyn Nets game,and then take a shower together.,Any,B,http://www.nba.com/nets/?hp=1
Monologue practice for Seth,Activity,All,Day,Free,You should...,go to monologue practice for Seth Meyers,and cross your fingers he doesn't bomb. ,2+,M,http://www.nbc.com/late-night-with-seth-meyers/blog/late-night-with-seth-meyers/get-tickets-to-the-show
NBC Studio Tour,Activity,All,Day,$$,You should...,take an NBC Studio Tour,and do your best Monica/Chandler impressions. ,2+,M,http://www.nbcstudiotour.com/
New Museum,Activity,All,Day,$$,You should...,visit the New Museum,and spark a new fire in your heart. ,Any,M,http://www.newmuseum.org/
Ninth Street Espresso Alphabet City,Coffee,All,Day,$,You should...,go to Ninth Street Espresso Alphabet City,and ask your date about their first kiss. ,Any,M,http://www.ninthstreetespresso.com/
Ninth Street Espresso Midtown,Coffee,All,Day,$,You should...,go to Ninth Street Espresso Midtown,and be sure to clarify that it's not on Ninth Street. ,Any,M,http://www.ninthstreetespresso.com/
Ninth Street Espresso Gowanus,Coffee,All,Day,$,You should...,go to Ninth Street Espresso Gowanus,and talk about what movies you like. ,Any,B,http://www.ninthstreetespresso.com/
Ninth Street Espresso Chelsea Market,Coffee,All,Day,$,You should...,go to Ninth Street Espresso Chelsea Market,and tell your date what you're nervous about. ,Any,M,http://www.ninthstreetespresso.com/
Ninth Ward,Bar,All,Day and Night,$$,You should...,have a drink at Ninth Ward in the East Village,and enjoy how your date looks in the dim lighting.,Any,M,http://www.ninthwardnyc.com/
Nitecap,Bar,All,Day and Night,$$,You should...,go to Nitecap on the LES,even if it's your first drink of the day. ,Any,M,http://www.nitecapnyc.com/#about
Nitehawk,Activity,All,Night,$$,You should...,do dinner and a movie together at Nitehawk in Williamsburg,and then stay together the rest of the night.,2+,B,http://www.nitehawkcinema.com/
Northern Spy Food Co,Restaurant,All,Day and Night,$$,You should...,go to Northern Spy Food Co in the East Village,"and if you have bad breath, bring mints. ",Any,M,http://www.northernspyfoodco.com/
Northside Bakery,Restaurant,All,Day and Night,$,You should...,go to Northside Bakery in Greenpoint,and get ready to explore your date's Southern Hemisphere. ,Any,B,http://www.northsidebakery.com/
Ellis Island,Activity,Warm,Day,$$,You should...,take a tour of Ellis Island,and try to imagine your grandparents' first dates.,2+,N,http://www.nps.gov/elis/planyourvisit/index.htm
Statue of Liberty,Activity,Warm,Day,$$,You should...,visit the Statue of Liberty,and talk about what guy you'd set her up with. ,2+,N,http://www.nps.gov/STLI/planyourvisit/index.htm
Botanical Garden,Activity,Warm,Day,$$,You should...,go to the New York Botanical Garden,and pick flowers for each other.,Any,N,http://www.nybg.org/
Bike the length of Manhattan,Activity,Warm,Day,$,You should...,bike the length of Manhattan,and feel like you accomplished something together.,2+,M,http://www.nyc.gov/html/dot/html/bicyclists/bikemaps.shtml
3 Sheets Saloon,Bar,All,Day and Night,$,You should...,go to 3 Sheets Saloon in the Village,and hope you end up in the sheets later that night. ,Any,M,http://www.nycbestbar.com/three-sheets.php
NYCFC games,Activity,Warm,Day and Night,$$,You should...,check out an NYCFC game at Yankee Stadium,and pretend you're a big soccer fan. ,Any,N,http://www.nycfc.com/
New York City fire museum,Activity,All,Day,$,You should...,go to the New York City Fire Museum in SoHo,and feel the fire of your date's desire for you. ,Any,M,http://www.nycfiremuseum.org/
Outdoor movies,Activity,Warm,Night,Free,You should...,catch an outdoor movie,and kiss during the opening credits.,2+,"M, B",http://www.nycgovparks.org/events/free_summer_movies
Skating at Bryant Park,Activity,Cold,Day and Night,$$,You should...,go ice skating at Bryant Park,and reenact your favorite pairs figure skating routine.,Any,M,http://www.nycgovparks.org/facilities/iceskating/3
Play tennis,Activity,Warm,Day,$,You should...,play tennis,and debate which of you is Venus and which is Serena.,2+,"B, M",http://www.nycgovparks.org/facilities/tennis
Little league game,Activity,Warm,Day,Free,You should...,watch a Little League game on the East River,and talk about how many kids you want. ,Any,M,http://www.nycgovparks.org/parks/east-river-park
Skating at McCarren Park,Activity,Cold,Day,$$,You should...,go ice skating at McCarren Park,and help each other balance.,Any,B,http://www.nycgovparks.org/parks/mccarren-park
Picnic in Prospect Park,Activity,Warm,Day,Free,You should...,picnic in Prospect Park,and then do naughty stuff on top of the blanket.,Any,B,http://www.nycgovparks.org/parks/prospect-park
Picnic on the East River Promenade,Activity,Warm,Day,Free,You should...,picnic on the East River Promenade,and then kiss on the East River Promenade.,Any,M,http://www.nycgovparks.org/photo/events/the_east_river_promenade/
Floyd Bennett Field,Activity,Warm,Day,Free,You should...,take a bike ride to Floyd Bennett Field,and hold hands when you get there.,2+,B,http://www.nyharborparks.org/visit/flbe.html
Caffe Storico,Restaurant,All,Day and Night,$$$,You should...,go to Caffe Storico on the Upper West Side,and you could be the last person your date ever dates. ,Any,M,http://www.nyhistory.org/dine
Mister Sundays,Activity,Warm,Day,$$,You should...,go to Mister Sundays at Industry City,and do the D.A.N.C.E.,2+,B,http://www.nytimes.com/2014/07/24/fashion/mister-sunday-parties-at-industry-city-in-brooklyn.html?_r=0
Old Town Bar,Bar,All,Night,$$,You should...,go to Old Town Bar by Union Square,and start a new love.,Any,M,http://www.oldtownbar.com/
Osteria Morini,Restaurant,All,Day and Night,$$$,You should...,go to Osteria Morini in Soho,and then take off your date's clothes with your teeth. ,Any,M,http://www.osteriamorini.com/
Record shopping @ Other Music,Activity,All,Day,$,You should...,go record shopping at Other Music in the Village,and talk about your favorite music.,2+,M,http://www.othermusic.com/
Outpost Cafe,Coffee,All,Day,$,You should...,go to Outpost Cafe in Clinton Hill,"and when you kiss afterward, don't let your arms hang by your side. ",Any,B,http://www.outpostlounge.com/
Grand Central Oyster Bar,Bar,All,Day and Night,$$,You should...,go to Grand Central Oyster Bar,and thank the lawd you don't live in the suburbs. ,Any,M,http://www.oysterbarny.com/
The Painted Pot CARROLL GARDENS,Activity,All,Day and Night,$$,You should...,paint your pottery at the Painted Pot in Carroll Gardens,"and ""accidentally"" get paint on each other.",2+,B,http://www.paintedpot.com/
The Painted Pot PARK SLOPE,Activity,All,Day and Night,$$,You should...,paint some pots at the Painted Pot in Park Slope,and paint using your date's favorite color. ,2+,B,http://www.paintedpot.com/
Paint Nite,Activity,All,Night,$$$,You should...,take a drunk painting class,and watch your painting skills deteriorate as you drink more.,2+,"M, B",http://www.paintnite.com/pages/events/index/newyork#date:1
Parm,Restaurant,All,Day and Night,$$,You should...,go to Parm in Soho,and tell your date you like them. ,Any,M,http://www.parmnyc.com/
Pearl Oyster Bar,Restaurant,All,Day and Night,$$$,You should...,go to Pearl Oyster Bar in the West Village,and don't end the night with a pearl necklace. ,Any,M,http://www.pearloysterbar.com/
Peasant,Restaurant,All,Day and Night,$$$,You should...,eat at Peasant in Nolita,It's actually expensive. ,Any,M,http://www.peasantnyc.com/
Pegu Club,Bar,All,Night,$$$,You should...,grab a cocktail at Pegu Club on Houston,"and pretend you're Ryan Gosling/Emma Stone in Crazy, Stupid, Love. ",Any,M,http://www.peguclub.com/flash/
Pennsylvania 6,Bar,All,Day and Night,$$,You should...,have cocktails at Pennsylvania 6 by Penn Station,and talk about your favorite train ride you've ever taken. ,Any,M,http://www.pennsylvania6nyc.com/
Penrose,Bar,All,Night,$$,You should...,drink alcohol at Penrose on the Upper East,and don't be pretentious when you order your cocktail.,Any,M,http://www.penrosebar.com/
Pepe Rosso To Go,Restaurant,All,Day and Night,$,You should...,go to Pepe Rosso To Go in Soho,and make a permanent love. ,Any,M,http://www.peperossotogo.com/cms/
Perilla,Restaurant,All,Day and Night,$$$,You should...,eat at Perilla in the West Village,and don't just tell your date stories. ,Any,M,http://www.perillanyc.com/
Perla,Restaurant,All,Day and Night,$$$,You should...,eat at Perla in the West Village,and show up early so you're sitting at the bar when your date arrives. ,Any,M,http://www.perlanyc.com/
Peter Pan Donuts,Activity,All,Day,$,You should...,go to Peter Pan Donuts in Greenpoint,and sit with your date because the takeout line's for suckers.,Any,B,http://www.peterpan-donuts.com/
Pete's Candy Store,Bar,All,Day and Night,$,You should...,get a drink at Pete's Candy Store in Williamsburg,(it's not a candy store),Any,B,http://www.petescandystore.com/
Pi Bakerie,Restaurant,All,Day and Night,$$,You should...,go to Pi Bakerie in Soho,and think about what your date'll look like in the morning. ,Any,M,http://www.pibakerie.com/
Pio Pio,Restaurant,All,Day and Night,$$,You should...,go to Pio Pio in Hell's Kitchen,and then give your date a kiss kiss. ,Any,M,http://www.piopio.com/
Piora,Restaurant,All,Day and Night,$$$,You should...,eat at Piora in the West Village,and go back to your date's apartment to watch something on Netflix. ,Any,M,http://www.pioranyc.com/
Pips,Activity,All,Day and Night,$,You should...,play some ping pong at Pips in Williamsburg,and let your date win.,Any,B,http://www.pipsout.com/
PizzArte,Restaurant,All,Day and Night,$$,You should...,have pizza at PizzArte in Midtown,and then admire the art on the walls. ,Any,M,http://www.pizzarteny.com/
Pok Pok,Restaurant,All,Day and Night,$$,You should...,go to Pok Pok in Cobble Hill,and you've got the dating game on lock. ,Any,B,http://www.pokpokny.com/home/
Porchetta,Restaurant,All,Day and Night,$$,You should...,get a sandwich at Porchetta in the East Village,and discuss which of you has the bigger bed. ,Any,M,http://www.porchettanyc.com/
Pork Slope,Restaurant,All,Day and Night,$$,You should...,go to Pork Slope in Park Slope,and you just might end up porking. ,Any,B,http://www.porkslopebrooklyn.com/
Porsena,Restaurant,All,Day and Night,$$,You should...,eat at Porsena in the East Village,and just make your date smile. ,Any,M,http://www.porsena.com/
Prohibition,Bar,All,Night,$$,You should...,have some drinks at Prohibition on the Upper West,and let go of your inhibitions. ,Any,M,http://www.prohibition.net/
Pushcart Coffee,Coffee,All,Day,$,You should...,go to Pushcart Coffee in Chelsea,and have a joke ready to tell. ,Any,M,http://www.pushcartcoffee.com/
Pylos,Restaurant,All,Day and Night,$$$,You should...,eat at Pylos in the East Village,and then do some hair-pulling. ,Any,M,http://www.pylosrestaurant.com/
Queens County Farm Museum,Activity,Fall,Day,$,You should...,go apple picking at the Queens County Farm Museum,and savor each other's sweetness. ,2+,N,http://www.queensfarm.org/
Rabbithole,Coffee,All,Day,$,You should...,get coffee at Rabbithole in Williamsburg,and ask if your date's a dog person or a cat person. ,Any,B,http://www.rabbitholerestaurant.com/
Racines,Restaurant,All,Day and Night,$$$,You should...,go to Racines in Tribeca,and ask your date which side of the bed they sleep on. ,Any,M,http://www.racinesny.com/
Radegast,Bar,All,Day and Night,$$,You should...,catch a live show at Radegast in Williamsburg,"and if your date is beatiful to you, then your date is beautiful. ",Any,B,http://www.radegasthall.com/
